Timestamp;a;b;q;d;hElAngle
0;-651;431;-441;465;-17113
1000;-651;287;60;640;-17113
2000;-635;655;-523;358;-17113
3000;-667;447;-316;460;-17113
4000;-651;207;200;608;-17113
5000;-811;-1;247;674;-17113
6000;-619;399;-446;525;-17113
7000;-811;143;407;728;-17113
8000;-619;175;97;615;-17113
9000;-811;15;399;683;-17113
10000;-523;447;381;726;-17113
11000;-475;671;-423;397;-17113
12000;-635;271;208;609;-17113
13000;-923;111;218;640;-17113
14000;-651;559;-499;489;-17113
15000;-651;207;66;730;-17113
16000;-747;271;102;661;-17113
17000;-491;639;-564;446;-17113
18000;-667;207;35;652;-17113
19000;-955;15;294;637;-17113
20000;-651;143;126;632;-17113
21000;-603;463;-94;623;-17113
22000;-667;335;50;659;-17113
23000;-587;399;-143;505;-17113
24000;-459;703;-433;480;-17113
25000;-395;623;-251;659;-17113
26000;-699;191;68;655;-17113
27000;-683;351;130;593;-17113
28000;-379;431;162;925;-17113
29000;-683;127;66;593;-17113
30000;-427;399;151;962;-17113
31000;-459;591;-365;473;-17113
32000;-699;255;179;627;-17113
33000;-635;191;522;691;-17113
34000;-347;687;-438;409;-17113
35000;-699;287;134;698;-17113
36000;-651;367;-75;580;-17113
37000;-907;111;516;778;-17113
38000;-667;287;188;691;-17113
39000;-555;623;-509;460;-17113
40000;-411;639;-409;395;-17113
41000;-363;575;-305;393;-17113
42000;-699;303;114;628;-17113
43000;-331;687;-509;430;-17113
44000;-683;303;132;581;-17113
45000;-587;431;-478;430;-17113
46000;-651;159;42;685;-17113
47000;-651;319;3;644;-17113
48000;-843;15;360;640;-17113
49000;-651;207;97;601;-17113
50000;-443;639;-234;598;-17113
51000;-667;255;179;600;-17113
52000;-411;671;-433;529;-17113
53000;-459;575;-365;516;-17113
54000;-907;335;393;931;-17113
55000;-795;47;520;773;-17113
56000;-747;143;350;779;-17113
57000;-747;79;485;742;-17113
58000;-779;127;356;897;-17113
59000;-699;287;225;605;-17113
60000;-635;239;101;647;-17113
61000;-619;207;65;694;-17113
62000;-491;575;-355;525;-17113
63000;-699;287;92;609;-17113
64000;-587;447;-78;680;-17113
65000;-491;559;-214;551;-17113
66000;-555;463;-310;506;-17113
67000;-331;543;-347;385;-17113
68000;-699;303;124;659;-17113
69000;-843;175;267;670;-17113
70000;-603;207;151;613;-17113
71000;-491;575;-339;457;-17113
72000;-427;655;-396;516;-17113
73000;-523;511;-65;577;-17113
74000;-683;319;134;629;-17113
75000;-475;591;-517;462;-17113
76000;-443;607;-374;488;-17113
77000;-395;623;-438;398;-17113
78000;-491;447;-141;625;-17113
79000;-635;287;53;647;-17113
80000;-699;335;144;693;-17113
81000;-651;239;149;577;-17113
82000;-619;223;114;689;-17113
83000;-699;335;-48;678;-17113
84000;-635;271;128;578;-17113
85000;-491;495;-452;497;-17113
86000;-651;255;179;609;-17113
87000;-491;431;-151;643;-17113
88000;-603;431;-151;667;-17113
89000;-571;527;-515;503;-17113
90000;-443;655;-460;432;-17113
91000;-411;687;-450;449;-17113
92000;-459;623;-556;566;-17113
93000;-747;191;134;646;-17113
94000;-587;207;225;637;-17113
95000;-427;623;-97;639;-17113
96000;-683;239;169;609;-17113
97000;-667;255;24;680;-17113
98000;-299;431;58;744;-17113
99000;-379;671;-407;628;-17113
100000;-651;207;188;597;-17113
101000;-587;127;315;654;-17113
102000;-603;575;-544;490;-17113
103000;-715;207;40;597;-17113
104000;-635;447;373;758;-17113
105000;-651;239;79;579;-17113
106000;-715;239;118;622;-17113
107000;-795;255;69;696;-17113
108000;-795;79;134;706;-17113
109000;-363;687;-142;598;-17113
110000;-587;335;-175;510;-17113
111000;-603;287;-29;584;-17113
112000;-683;287;169;686;-17113
113000;-331;447;-65;575;-17113
114000;-587;239;8;592;-17113
115000;-427;623;-303;429;-17113
116000;-619;287;60;696;-17113
117000;-571;495;-527;416;-17113
118000;-731;223;179;665;-17113
119000;-651;367;-169;487;-17113
120000;-619;303;110;667;-17113
121000;-683;415;-73;639;-17113
122000;-587;367;354;720;-17113
123000;-667;335;153;532;-17113
124000;-507;463;-227;654;-17113
125000;-459;623;-472;504;-17113
126000;-347;671;-446;425;-17113
127000;-667;143;204;598;-17113
128000;-363;671;-522;481;-17113
129000;-395;527;-117;913;-17113
130000;-667;239;197;642;-17113
131000;-459;591;-491;430;-17113
132000;-651;303;110;711;-17113
133000;-683;431;375;746;-17113
134000;-635;207;3;670;-17113
135000;-699;303;105;675;-17113
136000;-395;479;375;918;-17113
137000;-699;255;79;681;-17113
138000;-779;207;97;678;-17113
139000;-571;463;-404;536;-17113
140000;-667;207;243;646;-17113
141000;-395;703;-465;504;-17113
142000;-491;463;-263;626;-17113
143000;-683;319;8;711;-17113
144000;-651;287;13;702;-17113
145000;-507;431;-292;565;-17113
146000;-699;271;79;628;-17113
147000;-603;271;16;618;-17113
148000;-379;463;-296;656;-17113
149000;-683;255;70;680;-17113
150000;-635;207;163;641;-17113
151000;-587;223;173;577;-17113
152000;-507;687;-448;423;-17113
153000;-555;463;-44;653;-17113
