Timestamp;a;b;q;d;hElAngle
0;-6030;3471;201;6145;-17113
1000;-6046;3471;-53;6128;-17113
2000;-6206;3407;-39;6091;-17113
3000;-6126;3695;-275;6048;-17113
4000;-6334;3503;176;6059;-17113
5000;-6078;3471;-25;6056;-17113
6000;-5902;3519;220;6265;-17113
7000;-6046;3727;-827;5814;-17113
8000;-6110;3519;-101;6063;-17113
9000;-5886;3935;-709;5913;-17113
10000;-6030;3471;-67;6074;-17113
11000;-6078;3535;-166;6080;-17113
12000;-5790;3663;-302;6237;-17113
13000;-6126;3743;-732;5926;-17113
14000;-6094;3695;-294;5918;-17113
15000;-6094;3583;-195;6098;-17113
16000;-6014;3519;160;6219;-17113
17000;-6030;3935;-769;5944;-17113
18000;-6110;3599;-146;6079;-17113
19000;-6030;3871;-591;5959;-17113
20000;-6078;3535;-201;6112;-17113
21000;-6062;3503;-191;6124;-17113
22000;-6062;3519;-75;6071;-17113
23000;-5854;3935;-832;5864;-17113
24000;-6110;3599;-189;6098;-17113
25000;-6078;3631;-378;6079;-17113
26000;-6206;3295;121;6120;-17113
27000;-6094;3615;-371;5987;-17113
28000;-6014;3711;-364;5945;-17113
29000;-6350;3407;84;6132;-17113
30000;-5982;3567;-216;6090;-17113
31000;-6142;3567;-86;6165;-17113
32000;-6062;3631;-253;6114;-17113
33000;-5838;3711;108;6240;-17113
34000;-6126;3551;-445;5954;-17113
35000;-6094;3471;-189;6110;-17113
36000;-6062;3567;-107;6053;-17113
37000;-5902;3839;-390;6175;-17113
38000;-6078;3487;-72;6094;-17113
39000;-5838;3919;-655;5878;-17113
40000;-5838;3903;-864;5867;-17113
41000;-6126;3455;-162;6156;-17113
42000;-6030;3551;-72;6050;-17113
43000;-5822;3919;-795;5844;-17113
44000;-5870;3839;-661;5979;-17113
45000;-6174;3407;8;6147;-17113
46000;-6046;3535;-85;6019;-17113
47000;-6174;3327;-45;6111;-17113
48000;-6030;3663;-655;5951;-17113
49000;-6126;3471;-140;6043;-17113
50000;-6014;3631;-68;6087;-17113
51000;-6094;3679;-558;5931;-17113
52000;-6094;3615;-172;6043;-17113
53000;-5838;3759;-332;6032;-17113
54000;-5902;3791;-840;5918;-17113
55000;-5870;3759;50;6211;-17113
56000;-6142;3711;-542;5899;-17113
57000;-6094;3535;-172;6088;-17113
58000;-6030;3743;-294;6063;-17113
59000;-5790;3839;-552;5836;-17113
60000;-6046;3695;-263;6069;-17113
61000;-6334;3423;123;6210;-17113
62000;-6094;3471;-4;6079;-17113
63000;-6046;3471;-114;6032;-17113
64000;-5886;3759;12;6210;-17113
65000;-5758;3855;-466;6350;-17113
66000;-6078;3471;-211;6060;-17113
67000;-5886;3743;-783;5921;-17113
68000;-6046;3439;161;6247;-17113
69000;-6062;3455;-82;6060;-17113
70000;-5902;3711;-218;6181;-17113
71000;-6062;3535;-297;6119;-17113
72000;-6110;3503;-142;6079;-17113
73000;-5822;3759;-456;6253;-17113
74000;-6078;3519;-30;6061;-17113
75000;-6030;3455;164;6211;-17113
76000;-6078;3359;-90;6047;-17113
77000;-5902;3999;-759;5945;-17113
78000;-5838;3711;-244;6061;-17113
79000;-6062;3567;-183;6135;-17113
80000;-6110;3679;-339;6130;-17113
81000;-5806;3887;-724;5841;-17113
82000;-6110;3647;-170;6083;-17113
83000;-6014;3567;-218;6068;-17113
84000;-6030;3679;-378;6048;-17113
85000;-6142;3599;-70;6119;-17113
86000;-6030;3535;-181;6042;-17113
87000;-6142;3615;-142;6127;-17113
88000;-5758;3743;-332;6344;-17113
89000;-6030;3647;-493;6121;-17113
90000;-6366;3327;152;6181;-17113
91000;-6078;3583;-172;6014;-17113
92000;-5998;3487;-9;6060;-17113
93000;-5886;3967;-675;5866;-17113
94000;-6318;3439;97;6136;-17113
95000;-6110;3631;-152;6117;-17113
96000;-6014;3759;-835;5921;-17113
97000;-6110;3487;-199;6079;-17113
98000;-6062;3519;-146;6028;-17113
99000;-5886;3791;-707;5961;-17113
100000;-6030;3647;45;6401;-17113
101000;-6206;3519;-369;6063;-17113
102000;-5838;3951;-808;5846;-17113
103000;-6334;3407;55;6147;-17113
104000;-6126;3535;-101;6098;-17113
105000;-6030;3567;-164;6060;-17113
106000;-6030;3535;-144;6133;-17113
107000;-6046;3519;-218;6063;-17113
108000;-6206;3487;-95;6097;-17113
109000;-6078;3583;-226;6066;-17113
110000;-6110;3471;-62;6133;-17113
111000;-5966;3951;-722;5842;-17113
112000;-5870;3775;-425;6049;-17113
113000;-6030;3535;-125;6116;-17113
114000;-6062;3631;171;6202;-17113
115000;-6094;3791;-727;5831;-17113
116000;-6030;3535;-88;6084;-17113
117000;-6094;3663;-607;5920;-17113
118000;-6046;3439;141;6216;-17113
119000;-6062;3535;-17;6080;-17113
120000;-5902;3983;-677;5979;-17113
121000;-6238;3311;59;6211;-17113
122000;-6126;3551;-199;6087;-17113
123000;-6078;3551;-66;6129;-17113
124000;-6062;3455;-65;6077;-17113
125000;-6062;3519;-65;6114;-17113
126000;-6078;3663;-166;6067;-17113
