Timestamp;a;b;q;d;hElAngle
0;-8462;4716;116;8488;-17113
1000;-8574;4588;378;8535;-17113
2000;-8606;4508;445;8515;-17113
3000;-8542;4732;11;8550;-17113
4000;-8590;4652;171;8590;-17113
5000;-8574;4492;380;8480;-17113
6000;-8478;4620;38;8489;-17113
7000;-8542;4652;192;8540;-17113
8000;-8446;4636;28;8461;-17113
9000;-8542;4492;258;8515;-17113
10000;-8462;4572;210;8562;-17113
11000;-8558;4492;290;8573;-17113
12000;-8542;4620;207;8527;-17113
13000;-8606;4684;163;8751;-17113
14000;-8478;4588;221;8507;-17113
15000;-8494;4556;174;8483;-17113
16000;-8446;4668;116;8431;-17113
17000;-8494;4620;182;8484;-17113
18000;-8574;4556;391;8527;-17113
19000;-8494;4556;210;8554;-17113
20000;-8494;4572;126;8527;-17113
21000;-8542;4476;398;8581;-17113
22000;-8590;4604;242;8615;-17113
23000;-8574;4556;375;8571;-17113
24000;-8606;4492;299;8566;-17113
25000;-8574;4572;100;8589;-17113
26000;-8494;4604;229;8550;-17113
27000;-8638;4652;380;8525;-17113
28000;-8558;4556;190;8499;-17113
29000;-8558;4604;294;8598;-17113
30000;-8734;4620;185;8560;-17113
31000;-8558;4460;190;8471;-17113
32000;-8446;4652;247;8512;-17113
33000;-8526;4588;54;8499;-17113
34000;-8606;4812;195;8685;-17113
35000;-8510;4572;219;8494;-17113
36000;-8478;4684;20;8448;-17113
37000;-8462;4748;-23;8498;-17113
38000;-8430;4780;-25;8418;-17113
39000;-8398;4748;-52;8401;-17113
40000;-8462;4732;-5;8555;-17113
41000;-8494;4828;-25;8518;-17113
42000;-8510;4572;276;8524;-17113
43000;-8670;4684;323;8564;-17113
44000;-8478;4684;22;8450;-17113
45000;-8478;4620;106;8525;-17113
46000;-8574;4684;109;8431;-17113
47000;-8142;5196;-692;8250;-17113
48000;-8270;5052;-737;8247;-17113
49000;-8158;5100;-696;8276;-17113
50000;-8222;5068;-473;8248;-17113
51000;-8158;5068;-460;8380;-17113
52000;-8430;4812;-23;8443;-17113
53000;-8270;4940;-399;8397;-17113
54000;-8494;4860;-147;8413;-17113
55000;-8206;5084;-800;8235;-17113
56000;-8382;4828;-54;8531;-17113
57000;-8414;4668;74;8438;-17113
58000;-8446;4732;-36;8434;-17113
59000;-8606;4588;288;8581;-17113
60000;-8350;4876;-198;8503;-17113
61000;-8414;4796;-19;8477;-17113
62000;-8574;4540;294;8587;-17113
63000;-8398;4940;-448;8445;-17113
64000;-8574;4460;404;8570;-17113
65000;-8510;4620;126;8530;-17113
66000;-8430;4620;116;8442;-17113
67000;-8574;4668;139;8439;-17113
68000;-8366;4892;-19;8737;-17113
69000;-8590;4460;354;8548;-17113
70000;-8542;4476;312;8582;-17113
71000;-8606;4700;109;8593;-17113
72000;-8286;5132;-682;8271;-17113
73000;-8670;4668;104;8673;-17113
74000;-8542;4460;359;8534;-17113
75000;-8414;4748;-34;8730;-17113
76000;-8494;4636;-9;8501;-17113
77000;-8510;4716;212;8486;-17113
78000;-8494;4556;153;8530;-17113
79000;-8590;4812;166;8675;-17113
80000;-8558;4460;398;8527;-17113
81000;-8526;4636;59;8463;-17113
82000;-8494;4588;119;8490;-17113
83000;-8574;4556;188;8720;-17113
84000;-8494;4700;-52;8471;-17113
85000;-8526;4444;294;8540;-17113
86000;-8606;4492;380;8551;-17113
87000;-8478;4588;28;8476;-17113
88000;-8526;4540;249;8498;-17113
89000;-8638;4748;168;8734;-17113
90000;-8494;4892;-147;8398;-17113
91000;-8190;5164;-549;8258;-17113
92000;-8190;5068;-508;8314;-17113
93000;-8238;4892;-145;8571;-17113
94000;-8734;4668;214;8549;-17113
95000;-8446;4716;59;8459;-17113
96000;-8574;4524;331;8597;-17113
97000;-8558;4476;351;8499;-17113
98000;-8478;4588;42;8544;-17113
99000;-8494;4604;312;8537;-17113
100000;-8574;4668;268;8600;-17113
101000;-8542;4604;247;8506;-17113
102000;-8478;4684;-25;8442;-17113
103000;-8494;4732;124;8521;-17113
104000;-8430;4764;-73;8481;-17113
105000;-8462;4748;67;8493;-17113
106000;-8478;4652;96;8485;-17113
107000;-8574;4524;378;8513;-17113
108000;-8542;4428;179;8479;-17113
109000;-8558;4524;380;8535;-17113
110000;-8542;4572;22;8494;-17113
111000;-8478;4796;22;8467;-17113
112000;-8446;4620;106;8486;-17113
113000;-8462;4652;-25;8479;-17113
114000;-8462;4620;137;8466;-17113
115000;-8478;4588;85;8463;-17113
116000;-8446;4668;190;8502;-17113
117000;-8398;4924;-607;8212;-17113
118000;-8718;4892;-120;8727;-17113
119000;-8734;4908;-136;8688;-17113
120000;-8750;4652;218;8585;-17113
121000;-8494;4684;59;8511;-17113
122000;-8654;4796;67;8576;-17113
123000;-8478;4732;96;8450;-17113
124000;-8510;4604;106;8479;-17113
125000;-8606;4652;247;8748;-17113
126000;-8126;5116;-520;8350;-17113
127000;-8366;4908;-235;8718;-17113
128000;-8574;4540;259;8535;-17113
129000;-8526;4588;69;8525;-17113
130000;-8446;4732;40;8462;-17113
131000;-8494;4636;20;8515;-17113
132000;-8510;4460;288;8597;-17113
133000;-8462;4636;69;8461;-17113
134000;-8494;4588;249;8543;-17113
135000;-8574;4588;94;8645;-17113
136000;-8606;4460;388;8526;-17113
137000;-8510;4588;11;8458;-17113
138000;-8542;4572;325;8515;-17113
139000;-8478;4668;138;8502;-17113
140000;-8494;4556;357;8548;-17113
141000;-8542;4540;231;8515;-17113
142000;-8606;4668;252;8719;-17113
143000;-8094;5052;-727;8400;-17113
144000;-8574;4652;-253;8439;-17113
145000;-8190;5100;-700;8289;-17113
146000;-8686;4748;167;8747;-17113
147000;-8590;4588;370;8573;-17113
148000;-8558;4444;433;8603;-17113
149000;-8222;5148;-641;8218;-17113
150000;-8270;4908;-224;8428;-17113
151000;-8462;4636;-5;8512;-17113
152000;-8366;4956;-270;8222;-17113
153000;-8478;4716;57;8459;-17113
154000;-8702;4796;-290;8444;-17113
155000;-8398;5084;-547;8307;-17113
156000;-8254;5068;-464;8440;-17113
157000;-8430;4716;-25;8555;-17113
158000;-8590;4572;362;8544;-17113
