Timestamp;a;b;q;d;hElAngle
0;-353;-22;56;264;-17113
1000;-273;10;77;196;-17113
2000;-209;-6;155;134;-17113
3000;31;506;-456;-61;-17113
4000;-289;-54;150;271;-17113
5000;-177;218;-462;31;-17113
6000;-241;106;98;248;-17113
7000;-193;106;-79;162;-17113
8000;31;378;-336;-66;-17113
9000;-177;26;140;153;-17113
10000;-513;-118;567;211;-17113
11000;-193;-38;83;194;-17113
12000;31;458;-341;-25;-17113
13000;-241;-38;175;242;-17113
14000;-33;122;-161;423;-17113
15000;-161;394;-542;-52;-17113
16000;-257;-54;118;198;-17113
17000;-337;-6;88;167;-17113
18000;31;330;137;351;-17113
19000;-129;266;-247;-50;-17113
20000;-161;-70;210;206;-17113
21000;-353;-70;40;250;-17113
22000;-33;410;-433;-35;-17113
23000;-257;74;165;85;-17113
24000;-33;362;-89;103;-17113
25000;-129;-6;71;196;-17113
26000;-97;154;405;140;-17113
27000;-209;170;-380;-14;-17113
28000;-257;-6;111;240;-17113
29000;-225;202;186;330;-17113
30000;-193;-54;64;271;-17113
31000;-353;-246;394;208;-17113
32000;-241;170;-333;57;-17113
33000;-209;42;239;199;-17113
34000;-193;122;51;172;-17113
35000;-33;394;-708;-71;-17113
36000;-241;58;128;255;-17113
37000;-241;74;138;249;-17113
38000;-257;250;-228;54;-17113
39000;-289;74;132;241;-17113
40000;-177;202;-314;-15;-17113
41000;-257;74;106;208;-17113
42000;-65;410;-474;-5;-17113
43000;-353;74;448;389;-17113
44000;-225;42;155;204;-17113
45000;15;330;-464;-38;-17113
46000;-129;186;98;516;-17113
47000;-161;-6;185;141;-17113
48000;-65;266;-361;-63;-17113
49000;-433;-150;349;274;-17113
50000;-193;106;138;136;-17113
51000;-145;202;12;472;-17113
52000;-161;74;51;212;-17113
53000;-273;-54;192;264;-17113
54000;-209;-22;126;171;-17113
55000;-369;-198;339;249;-17113
56000;-209;-22;-10;73;-17113
57000;-177;298;-348;-75;-17113
58000;-225;42;81;196;-17113
59000;-1;330;-473;58;-17113
60000;-209;-6;25;267;-17113
61000;63;234;-434;107;-17113
62000;-177;-38;220;220;-17113
63000;-353;-198;507;238;-17113
64000;-257;186;-321;-28;-17113
65000;-193;-6;56;223;-17113
66000;-241;-70;48;166;-17113
67000;-257;-70;132;220;-17113
68000;-353;26;-25;215;-17113
69000;-193;58;167;120;-17113
70000;-273;90;212;171;-17113
71000;-385;-70;567;344;-17113
72000;-177;42;-54;95;-17113
73000;-241;-22;187;231;-17113
74000;-225;10;51;122;-17113
75000;-273;-38;85;266;-17113
76000;95;154;620;265;-17113
77000;-177;-70;176;279;-17113
78000;-401;-6;405;215;-17113
79000;79;202;-83;212;-17113
80000;-209;10;204;229;-17113
81000;15;346;293;421;-17113
82000;-81;330;-454;62;-17113
83000;-193;-6;204;218;-17113
84000;-209;-54;128;240;-17113
85000;-241;74;146;247;-17113
86000;127;282;362;227;-17113
87000;-17;426;-96;81;-17113
88000;-193;90;-15;46;-17113
89000;-193;-86;165;300;-17113
90000;-257;42;69;167;-17113
91000;-385;-198;226;191;-17113
92000;-129;-198;433;180;-17113
93000;-17;330;-38;339;-17113
94000;31;186;-116;288;-17113
95000;-177;186;-380;70;-17113
