Timestamp;a;b;q;d;hElAngle
0;-950;411;89;865;-17113
1000;-950;619;-314;798;-17113
2000;-822;795;-154;926;-17113
3000;-822;667;-439;795;-17113
4000;-1046;427;309;1092;-17113
5000;-966;603;66;976;-17113
6000;-950;475;67;898;-17113
7000;-854;219;251;970;-17113
8000;-950;555;-154;874;-17113
9000;-710;795;-263;917;-17113
10000;-902;427;61;898;-17113
11000;-710;811;-552;660;-17113
12000;-678;939;-532;633;-17113
13000;-1206;379;448;946;-17113
14000;-758;875;-601;719;-17113
15000;-918;443;-21;948;-17113
16000;-838;379;69;865;-17113
17000;-902;427;-86;983;-17113
18000;-950;491;-109;967;-17113
19000;-726;731;-400;773;-17113
20000;-774;827;-491;773;-17113
21000;-902;603;-172;929;-17113
22000;-678;891;-560;762;-17113
23000;-710;763;-244;865;-17113
24000;-966;587;-220;822;-17113
25000;-918;571;22;915;-17113
26000;-950;459;-39;1014;-17113
27000;-854;395;307;973;-17113
28000;-854;427;-45;881;-17113
29000;-1014;539;82;964;-17113
30000;-854;619;166;1074;-17113
31000;-902;411;53;910;-17113
32000;-630;667;72;1172;-17113
33000;-870;475;-156;915;-17113
34000;-678;923;-525;685;-17113
35000;-918;475;-10;954;-17113
36000;-902;395;-69;1002;-17113
37000;-742;1035;-521;684;-17113
38000;-982;523;67;961;-17113
39000;-870;443;126;881;-17113
40000;-694;907;-636;717;-17113
41000;-742;891;-704;742;-17113
42000;-950;507;16;979;-17113
43000;-902;443;128;929;-17113
44000;-742;939;-511;763;-17113
45000;-886;603;-146;811;-17113
46000;-902;635;377;1168;-17113
47000;-934;443;32;897;-17113
48000;-982;571;-185;971;-17113
49000;-694;811;-220;907;-17113
50000;-966;491;1;949;-17113
51000;-950;395;67;898;-17113
52000;-950;555;-74;898;-17113
53000;-934;491;64;884;-17113
54000;-966;507;97;924;-17113
55000;-966;619;121;978;-17113
56000;-950;459;53;898;-17113
57000;-918;411;67;790;-17113
58000;-870;555;-162;927;-17113
59000;-902;635;-349;897;-17113
60000;-774;795;-605;734;-17113
61000;-1174;235;460;1060;-17113
